구별,위반일자,위반시간,위반장소,위반내용
덕진구,2022-12-15,,"전라북도 전주시 덕진구 동부대로 575, 우정신세계아파트",운반장비(차량 등) 이용 폐기물 투기
덕진구,2022-12-15,,전라북도 전주시 덕진구 덕진광장 공영주차장 옆 화장실,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-12-15,,"덕진구 만성동 140(정여립로 988)(차량번호 안보임, 확인 요)",휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-12-14,,덕진구 팔복동1가 308-3(영상 안보여서 확인해야함),휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-12-14,,완산구 서신동 942-11,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-12-14,,완산구 관선2길 24-3,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-12-13,,완산구 쑥고개옛길 129 부근,운반장비(차량 등) 이용 폐기물 투기
완산구,2022-12-13,,완산구 쑥고개옛길 129 부근,재활용혼합배출
완산구,2022-12-13,,완산구 중인1길 76 중인초,재활용혼합배출
완산구,2022-12-12,,완산구 전주천서로 69(그리고 오늘),간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-12-12,,완산구 중화산동2가 560,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-12-11,15:00:00,덕진구 석소로 9-3 용담호 건강원 앞,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-12-11,,완산구 효자동3가 1779,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-12-09,,완산구 효자로 295(고기85 정육식당),쓰레기혼합배출
완산구,2022-12-08,,완산구 평화동1가 750 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-12-07,,"덕진구 중동 838-1, 한국농수산대학 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-12-07,,완산구 쑥고개옛길 129 부근,운반장비(차량 등) 이용 폐기물 투기
덕진구,2022-12-06,,덕진구 장동 611-6(동방광고기획 옆),간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-12-06,,덕진구 혁신도시 농수산대학앞 도로,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-12-06,,완산구 쑥고개옛길 129 부근,운반장비(차량 등) 이용 폐기물 투기
완산구,2022-12-06,,우성삼천2차아파트 내,운반장비(차량 등) 이용 폐기물 투기
완산구,2022-12-06,,완산구 쑥고개옛길 129 부근,운반장비(차량 등) 이용 폐기물 투기
완산구,2022-12-06,,완산구 선너머3길 14-7,음식물혼합배출
완산구,2022-12-06,,완산구 효자동2가 1267,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-12-04,,덕진구 덕진동2가 638-1(타이어뱅크 전주점 앞),휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-12-04,,완산구 쑥고개옛길 129 부근,운반장비(차량 등) 이용 폐기물 투기
완산구,2022-12-04,,완산구 쑥고개옛길 129 부근,운반장비(차량 등) 이용 폐기물 투기
덕진구,2022-12-02,,덕진구 금암동 667-5,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-12-02,,완산구 선너머2길 34 부근,음식물혼합배출
완산구,2022-11-30,,완산구 신촌1길 8-2,음식물혼합배출
완산구,2022-11-30,,완산구 거마공원 주차장 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-11-29,,"전라북도 전주시 덕진구 쪽구름로 123, 남양반월타운 ",간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-11-29,,완산구 거마공원 주차장 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-11-28,,덕진구 인후동1가 939-9,운반장비(차량 등) 이용 폐기물 투기
덕진구,2022-11-28,,덕진구 우아동3가(대자인병원 - 홈플러스 방향),휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-11-27,,전라북도 전주시 덕진구 만성로 180 만성에코르2단지,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-11-25,,덕진구 상리1길34 ((구) 중소기업청 옆),사업활동 발생 폐기물 소각
덕진구,2022-11-25,,덕진구 상리1길34 ((구) 중소기업청 옆),운반장비(차량 등) 이용 폐기물 투기
덕진구,2022-11-25,,덕진구 동부대로 호성파출소 인근,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-11-25,,완산구 용리로 32 부근,쓰레기혼합배출
덕진구,2022-11-24,,덕진구 서가재미1길 6-3,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-11-24,,덕진구 서가재미1길 6-1,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-11-24,,완산구 거마공원 주차장 부근,쓰레기혼합배출
완산구,2022-11-24,,완산구 거마공원 주차장 부근,음식물혼합배출
완산구,2022-11-24,,완산구 인정1길 3-6 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-11-24,,완산구 중화산로 100 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-11-23,,완산구 관선4길 12,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-11-23,,완산구 신촌1길 8-2,음식물혼합배출
완산구,2022-11-23,,완산구 서노송동 568-95,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-11-21,,덕진구 안덕원로 타이어뱅크 사거리,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-11-21,,완산구 평화동3가 889-1,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-11-21,,완산구 중화산동2가 545 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-11-19,,덕진구 송천동 777타이어 앞,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-11-19,,완산구 고사동 181,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-11-18,,덕진구 거북바우로 146,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-11-18,,덕진구 거북바우로 146,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-11-18,,덕진구 거북바우로 146,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-11-17,,덕진구 고랑동 609-43,운반장비(차량 등) 이용 폐기물 투기
덕진구,2022-11-17,,덕진구 상리1길34 인도변((구) 중소기업청 옆),운반장비(차량 등) 이용 폐기물 투기
완산구,2022-11-17,,완산구 서원로 169 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-11-16,,덕진구 송천동2가 189-8,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-11-16,,덕진구 권삼득로 금암초교 담장 쓰레기 적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-11-16,,덕진구 거북바우로 146,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-11-16,,덕진구 거북바우로 146,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-11-16,,덕진구 금암1길 21 도로변 쓰레기 적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-11-16,,덕진구 거북바우로 146,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-11-16,,덕진구 거북바우로 146,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-11-16,,덕진구 송천동2가 1374(과학로-로마네시티 방향),휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-11-16,,덕진구 반월동 850-2(지하차도 옆 - 첨단산업단지 방향),휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-11-15,,덕진구 금상동 778(수곡마을 분리수거장),운반장비(차량 등) 이용 폐기물 투기
덕진구,2022-11-15,,덕진구 송천중앙로 125,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-11-15,,덕진구 인후동2가 1595,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-11-15,,완산구 쑥고개옛길 129 부근,운반장비(차량 등) 이용 폐기물 투기
덕진구,2022-11-14,,덕진구 팔복동2가7-7(가운데집 앞),휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-11-14,,완산구 중화산동2가 560 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-11-14,,완산구 효자동3가 1876 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-11-12,,덕진구 금암동 796(운동장네거리 부근),휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-11-12,,전라북도 완주군,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-11-11,,덕진구 금암6길 40 도로변 쓰레기 적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-11-11,,덕진구 금암6길 40 도로변 쓰레기 적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-11-11,,덕진구 진북동 997-30(어은교 부근),휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-11-11,,덕진구 송천동2가(농산물앞교차로 부근),휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-11-10,,덕진구 고랑동 609-43,대형폐기물 투기(50)
덕진구,2022-11-10,,덕진구 모래내6길 35,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-11-10,,덕진구 모래내6길 35,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-11-10,,완산구 삼천천변2길 51,운반장비(차량 등) 이용 폐기물 투기
완산구,2022-11-10,,완산구 삼천천변2길 51,운반장비(차량 등) 이용 폐기물 투기
완산구,2022-11-10,,완산구 효자동1가 195-14,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-11-10,,완산구 효자동2가 1349,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-11-10,,완산구 서원로 188 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-11-09,,덕진구 모래내6길 35,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-11-08,,덕진구 금암동 663(전북대 신정문 앞),휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-11-08,,완산구 삼천육교 부근,혼합배출
덕진구,2022-11-07,,덕진구 전주종합경기장 사거리 백제대로 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-11-05,,덕진구 덕진동2가 6,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-11-05,,완산구 삼천동1가 139-1,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-11-04,,덕진구 동부대로 1091 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-11-03,,완산구 송정로 19-16,음식물혼합배출
완산구,2022-11-03,,완산구 농소2길 1,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-11-02,,완산구 효자동2가 93-5,운반장비(차량 등) 이용 폐기물 투기
완산구,2022-11-02,,완산구 송정로 19-16,음식물혼합배출
완산구,2022-11-02,,완산구 태평동 94-10,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-11-01,,완산구 삼천동1가 709,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-11-01,,완산구 삼천동1가 709,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-10-30,,완산구 삼천동1가 762,운반장비(차량 등) 이용 폐기물 투기
완산구,2022-10-30,,완산구 효자동3가 1562,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-10-28,,완산구 따박골로 46 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-10-26,,완산구 간납대1길 58 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-10-26,,완산구 간납대1길 36-1 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-10-26,,완산구 효자동3가 1710-4,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-10-25,18:00:00,완산구 서원로 267,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-10-24,,"덕진구 동부대로 1188, 송천 메가박스 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-10-24,,완산구 효자동1가 433-2,운반장비(차량 등) 이용 폐기물 투기
완산구,2022-10-22,,완산구 송정로 19-16,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-10-21,,완산구 송정로 19-16,음식물혼합배출
완산구,2022-10-21,,완산구 효자동3가 1548,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-10-20,,"덕진구 백제대로 566, 전북은행 본점 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-10-20,,완산구 송정로 19-16,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-10-20,,완산구 송정로 19-16,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-10-20,,완산구 송정로 19-16,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-10-20,,완산구 송정로 19-16,혼합배출
완산구,2022-10-19,,완산구 모악로 4655,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-10-19,,완산구 삼천동3가 494-12,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-10-17,07:55:00,"덕진구 혁신로 718, 세움펠리피아2차 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-10-17,,"덕진구 동부대로 1145, 송천역사거리 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-10-17,,"덕진구 동부대로 1145, 송천역사거리 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-10-17,,완산구 선너머3길 14 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-10-17,,완산구 선너머3길 14 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-10-17,,완산구 충경로 77,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-10-15,16:33:00,"덕진구 백제대로 676, 전북대병원 입구 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-10-15,18:24:00,"덕진구 팔복동2가 800, 추천대교 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-10-14,08:55:00,완산구 평화동3가 246-2 부근,운반장비(차량 등) 이용 폐기물 투기
완산구,2022-10-14,,완산구 전주천서로 181 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-10-14,,완산구 전주천서로 181 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-10-14,,완산구 전주천서로 181 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-10-13,19:47:00,완산구 서곡로 34,운반장비(차량 등) 이용 폐기물 투기
완산구,2022-10-13,19:47:00,완산구 서곡로 34,운반장비(차량 등) 이용 폐기물 투기
덕진구,2022-10-12,,"덕진구 건산로 193, 전자랜드 인후점 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-10-11,,"덕진구 백제대로 572, 전북대신정문 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-10-08,16:25:00,완산구 중화산동2가 526-13,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-10-08,,덕진구 여의동 1260-4 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-10-07,16:40:00,완산구 삼천동3가 산 63-13,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-10-07,18:10:00,"덕진구 동부대로 1563, 동산광장교차로 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-10-07,,덕진구 중동 838-1 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-10-06,,"덕진구 정여립로 988, 워시랜드혁신점 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-10-05,15:07:00,완산구 효자동2가 1134-1,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-10-03,,완산구 신봉로 31 앞 인도,운반장비(차량 등) 이용 폐기물 투기
덕진구,2022-10-02,12:59:00,"덕진구 송천중앙로 9, 원광한방병원 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-10-02,18:41:00,"덕진구 아중로 109, 예우랑 아중점 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-10-01,,덕진구 상리4길 16 부근,운반장비(차량 등) 이용 폐기물 투기
완산구,2022-09-30,,완산구 효자동1가 649,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-09-28,11:52:00,완산구 전주천서로147 앞,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-09-26,13:12:00,"덕진구 동부대로 1145, 송천역사거리 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-09-26,17:38:00,삼천동3가 산176-7 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-09-26,,완산구 평화동1가 760,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-09-25,15:33:00,완산구 효자동3가 1554,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-09-24,11:12:00,완산구 천잠로 164 앞 도로,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-09-24,16:58:00,"덕진구 백제대로 683, 전북대병원 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-09-23,,완산구 관선5길3,운반장비(차량 등) 이용 폐기물 투기
완산구,2022-09-22,18:10:00,완산구 서신동 995-1,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-09-21,09:56:00,완산구 우전로 210,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-09-21,13:47:00,"덕진구 온고을로 563, 전주발전사 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-09-21,,"덕진구 가련산로 99, 원광한방병원 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-09-20,17:56:00,"덕진구 동부대로 556, 안덕원지하차도 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-09-20,,"덕진구 백제대로 580, 전북은행본점 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-09-19,,"덕진구 세병로 111, 에코자이1차아파트 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-09-18,,완산구 효자동2가 1172,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-09-17,,완산구 인봉남로 35-26,운반장비(차량 등) 이용 폐기물 투기
덕진구,2022-09-16,,덕진구 성덕동 173-49 부근,운반장비(차량 등) 이용 폐기물 투기
덕진구,2022-09-16,,덕진구 만성동 1240 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-09-16,,덕진구 중동 산 73-20 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-09-16,,완산구 효자동2가 1267,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-09-15,13:21:00,"덕진구 팔달로 363, 한교고시학원 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-09-15,16:32:00,삼천동1가 768,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-09-14,,덕진구 성덕동 173-49 부근,운반장비(차량 등) 이용 폐기물 투기
완산구,2022-09-13,14:03:00,완산구 거마평로 236,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-09-13,,"덕진구 월방8길 25-8, 국민연금공단 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-09-12,,덕진구 신복천변로 21 부근,운반장비(차량 등) 이용 폐기물 투기
완산구,2022-09-09,19:16:00,완산구 삼천동1가 760,운반장비(차량 등) 이용 폐기물 투기
완산구,2022-09-09,,완산구 인봉남로 37,운반장비(차량 등) 이용 폐기물 투기
완산구,2022-09-09,,완산구 효자동2가 1196-9,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-09-08,13:41:00,완산구 효자동3가 1800,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-09-08,,완산구 서신동 756-5,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-09-08,,완산구 서신동 884,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-09-07,08:49:00,완산구 서신동 852-5,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-09-07,,덕진구 신복천변로 21 부근,대형폐기물 투기(20)
완산구,2022-09-07,,완산구 평화동2가 180,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-09-07,,완산구 효자동2가 1134-1,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-09-05,,완산구 평화동2가 156-9,운반장비(차량 등) 이용 폐기물 투기
완산구,2022-09-05,,완산구 효자동2가 1267,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-09-04,,덕진구 신복천변로 21 부근,운반장비(차량 등) 이용 폐기물 투기
완산구,2022-09-03,,중인1길193(모악산정 앞),운반장비(차량 등) 이용 폐기물 투기
완산구,2022-09-03,,중인1길193(모악산정 앞),간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-09-01,12:19:00,"덕진구 백제대로 479, 전주종합경기장 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-09-01,12:33:00,완산구 솟대로 24,운반장비(차량 등) 이용 폐기물 투기
덕진구,2022-08-31,,"덕진구 송천중앙로 146, 솔내고등학교 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-08-31,,효자동1가 599-5,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-08-31,,완산구 천잠로 361,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-08-31,,중화산동2가 560,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-08-30,,삼천천변2길 51 우성삼천2차아파트 내,운반장비(차량 등) 이용 폐기물 투기
완산구,2022-08-29,,완산구 효자동3가 1562,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-08-28,11:00:00,완산구 용복동 산 133-1,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-08-28,,완산구 평화동1가 750,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-08-27,15:39:00,완산구 평화로 118,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-08-27,,"덕진구 송천3길 55, 송천벽산e리버파크",운반장비(차량 등) 이용 폐기물 투기
덕진구,2022-08-26,,"덕진구 부동길 4, 유성교회 부근",운반장비(차량 등) 이용 폐기물 투기
완산구,2022-08-26,,인봉2길26 부근,운반장비(차량 등) 이용 폐기물 투기
완산구,2022-08-26,,인봉2길 10-1 부근,운반장비(차량 등) 이용 폐기물 투기
완산구,2022-08-25,10:00:00,완산구 효자동3가 1894,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-08-25,17:39:00,덕진구 여의동 1264-11 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-08-25,,덕진구 팔복동2가 803-1 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-08-24,,완산구 삼천동1가 703-5,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-08-23,18:13:00,"덕진구 백제대로 479, 전주종합경기장 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-08-23,,"덕진구 장재길 6, 동성자동차학원 부근",운반장비(차량 등) 이용 폐기물 투기
덕진구,2022-08-23,,덕진구 전미월평1길 46 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-08-23,,덕진구 팔복동2가 803-1 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-08-23,,완산구 효자동1가 641,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-08-22,06:38:00,인봉북로 30-3 부근,운반장비(차량 등) 이용 폐기물 투기
덕진구,2022-08-22,,"덕진구 견훤로 497, 우아동 우성아파트",대형폐기물 투기(20)
덕진구,2022-08-22,,"덕진구 농생명로 310, 국립농업과학원 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-08-22,,세내로39 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-08-22,,노송여울2길 36,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2022-08-21,,"덕진구 인후동2가 202-4, 모래내 주차장 부근",운반장비(차량 등) 이용 폐기물 투기
완산구,2022-08-20,21:09:00,중화산동1가 324-5,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-08-20,,"덕진구 기린대로 421, 전북일보사 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-08-20,,"덕진구 정여립로 988, 워시랜드혁신점",휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-08-19,,"덕진구 정여립로 988, 워시랜드혁신점 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-08-19,,"장승배기로 15 삼천주공4,5단지 아파트 내",운반장비(차량 등) 이용 폐기물 투기
완산구,2022-08-19,,평화동1가 750,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-08-18,11:00:00,중화산동2가 560 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-08-18,,중화산동2가 585-8 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-08-17,13:40:00,서신동 294-24 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-08-17,,덕진구 팔복동2가 294-2 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-08-17,,완산구 삼천동1가 703-5,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-08-17,,중화산동2가 676 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-08-17,,온고을로 211 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-08-16,,"덕진구 정여립로 988, 워시랜드혁신점",휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-08-16,,완산구 삼천동1가 703-5,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-08-16,,평화동1가 758 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2022-08-13,19:12:00,중화산동2가 718-2 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-08-12,09:58:00,"덕진구 호성로 18-11, 우아중학교 부근",휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2022-08-12,17:12:00,효자동3가 1548,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2022-08-12,,"덕진구 솔내9길 7, 송천우림아파트",대형폐기물 투기(16)
완산구,2022-08-12,,오성은하아파트 내,운반장비(차량 등) 이용 폐기물 투기
